timestamp,Compound_V_Vials_open,Compound_V_Vials_high,Compound_V_Vials_low,Compound_V_Vials_close,Compound_V_Vials_volume,Heisenberg_Crystals_open,Heisenberg_Crystals_high,Heisenberg_Crystals_low,Heisenberg_Crystals_close,Heisenberg_Crystals_volume,Infinity_Stones_open,Infinity_Stones_high,Infinity_Stones_low,Infinity_Stones_close,Infinity_Stones_volume,Pieces_Of_Eight_open,Pieces_Of_Eight_high,Pieces_Of_Eight_low,Pieces_Of_Eight_close,Pieces_Of_Eight_volume,Solaris_Stardust_open,Solaris_Stardust_high,Solaris_Stardust_low,Solaris_Stardust_close,Solaris_Stardust_volume,Valyrian_Steel_open,Valyrian_Steel_high,Valyrian_Steel_low,Valyrian_Steel_close,Valyrian_Steel_volume,Jack,Queen,Ace,King,Black_Joker,Red_Joker
0,1000,1000.7694,997.6833,998.6819,2567,99.927,100.0613,99.9158,100.0111,1342.9,100,101.1297,99.9737,101.0187,7870.08,100.0601,100.1092,93.9405,100,1360,1000,1002.6463,997.0581,1002.2231,1582,1002.6078,1002.6078,989.9605,993.1025,585.58,0,0,0,0,-1,0
1,998.6819,999.7689,998.3477,998.435,6924,100.4583,100.7213,100.0193,100.6596,1030.5,101.0187,102.0764,100.73,101.8983,11165.18,100,100.0554,98.7893,98.951,1792,1002.2231,1005.3225,1001.7959,1004.5582,6554,995.0051,1008.1862,993.7671,1006.809,586.63,0,0,0,0,0,0
2,998.435,998.7663,995.8997,996.3397,5118,101.2426,101.43,100.5949,101.2868,853,101.8983,103.3791,101.7554,103.1797,11610.23,98.951,98.9578,98.5549,98.5891,1115,1004.5582,1008.9501,1004.5285,1007.0113,9379,1006.1949,1014.8435,1004.7956,1009.5418,572.85,-1,0,1,0,0,0
3,996.3397,996.8795,993.3618,994.0235,7535,101.2224,101.3955,100.6704,100.7792,1010.7,103.1797,103.5204,102.4593,102.7991,11069.28,98.5891,98.7589,92.1285,98.1581,1979,1007.0113,1011.7962,1006.2637,1009.1141,7458,1009.6336,1016.8932,1003.1631,1016.8932,577.88,0,0,0,0,0,1
4,994.0235,994.4732,954.4816,954.9609,1479,100.636,100.9387,100.2026,100.2963,838.5,102.7991,103.114,101.8293,101.9969,6685.57,98.1581,98.325,96.9501,96.9521,1683,1009.1141,1013.6355,1007.8328,1011.5183,9944,1015.47,1023.849,1011.3311,1020.2476,585.75,0,0,0,0,0,0
5,954.9609,956.294,944.543,945.2604,1996,100.2606,100.4654,100.242,100.3058,1597.5,101.9969,102.8072,101.9191,102.4901,13275.47,96.9521,97.1315,96.7455,96.9014,1944,1011.5183,1015.8237,1008.4918,1013.6315,5876,1026.0868,1028.2495,1018.462,1018.462,580.5,0,0,0,0,0,0
6,945.2604,945.5808,934.0278,934.9937,3294,100.2977,100.5638,100.1862,100.3484,1416.5,102.4901,102.7391,101.5205,101.5874,12625.31,96.9014,99.9849,93.2612,96.4365,1611,1013.6315,1016.6168,1011.1225,1016.0928,1582,1021.8347,1036.5948,1021.8347,1036.5948,582.47,0,0,0,0,0,0
7,934.9937,935.3044,925.2355,925.8224,3513,100.8446,100.8802,100.141,100.6494,871.8,101.5874,101.8531,99.2997,99.7881,12526.86,96.4365,96.5563,90.349,96.375,1251,1016.0928,1019.6483,1013.767,1018.5909,4633,1034.5657,1034.5657,1021.9151,1029.4278,584.53,0,0,-1,0,0,0
8,925.8224,926.7863,915.115,916.0677,1379,101.0123,101.0749,100.4498,100.8765,991.9,99.7881,99.9391,95.0085,95.1943,7951.07,96.375,96.4873,95.122,95.1415,1417,1018.5909,1023.6093,1016.919,1021.1177,9605,1026.6551,1043.1387,1026.6551,1041.8469,571.34,0,0,0,0,0,0
9,916.0677,922.375,914.3175,922.2738,3646,100.888,101.0951,100.779,100.8606,1187.8,95.1943,95.4809,93.611,93.6809,11497.68,95.1415,95.3591,95.052,95.1846,1129,1021.1177,1024.5896,1019.7848,1023.2074,7232,1041.7453,1045.4284,1037.6789,1045.4284,571.22,1,0,0,0,-1,1
10,922.2738,923.4853,921.6964,922.5966,1996,100.8157,100.9131,100.6278,100.6843,1235.8,93.6809,95.2351,93.6585,95.1932,10251.35,95.1846,101.205,94.8577,94.9048,1070,1023.2074,1027.2679,1021.1769,1025.3557,6328,1041.4617,1042.7938,1035.882,1042.6415,577.32,0,0,0,0,0,0
11,922.5966,930.3654,921.6092,928.5145,4987,100.6913,100.7906,100.4716,100.5617,774.3,95.1932,95.5851,94.961,95.0443,13886.74,94.9048,95.0204,93.6016,93.7745,1156,1025.3557,1028.6657,1024.7298,1027.6358,226,1041.8781,1055.0884,1040.2808,1054.7272,585.45,0,0,0,0,0,0
12,928.5145,938.2838,927.1032,937.4676,9626,100.5198,100.6192,100.4142,100.5278,1104,95.0443,95.229,94.9534,94.9721,8753.71,93.7745,99.9525,93.2675,93.3364,1092,1027.6358,1032.3687,1024.6501,1029.8625,565,1056.4438,1058.0989,1048.568,1050.5803,587.55,0,0,0,0,0,0
13,937.4676,946.8119,935.8114,946.6608,3089,100.6893,100.7708,100.4299,100.6023,1307.1,94.9721,96.6219,94.9272,96.4418,8458.14,93.3364,93.4469,92.1164,92.2595,1955,1029.8625,1034.8421,1028.5619,1032.2246,10622,1051.2679,1053.8521,1044.3919,1053.4199,583.8,0,0,0,0,0,0
14,946.6608,957.4791,945.0569,956.0472,7500,100.5855,100.9499,100.5626,100.7283,1958.2,96.4418,96.849,96.4076,96.7756,9208.43,92.2595,98.634,92.0946,92.4688,1312,1032.2246,1037.4496,1029.8117,1034.4444,11300,1049.6117,1064.4812,1049.6117,1059.2362,580.59,1,0,1,0,1,-1
15,956.0472,963.1294,955.5062,961.9646,2464,100.5451,100.8979,100.464,100.6226,1565.4,96.7756,96.9716,95.9094,95.99,13193.19,92.4688,94.0594,92.3406,94.0297,1000,1034.4444,1036.79,1032.5144,1036.5739,8023,1054.8383,1054.8383,1045.6301,1045.6548,570.97,0,0,0,0,0,0
16,961.9646,969.2302,960.4218,967.8449,2048,100.4528,100.6332,100.2498,100.3544,944.9,95.99,96.0429,92.9177,93,9786.48,94.0297,94.1065,93.6523,93.7421,1685,1036.5739,1040.445,1034.0489,1038.7377,8475,1043.8764,1044.4452,1032.2088,1033.6253,575.23,0,0,0,0,0,0
17,967.8449,968.5409,963.8618,964.6265,8475,100.2833,100.44,100.2391,100.3308,1502.2,93,95.4462,92.9393,95.3213,8629.14,93.7421,99.8158,93.5945,93.7093,1474,1038.7377,1041.9589,1036.5659,1040.9653,8927,1033.3304,1033.3304,1017.4807,1017.4807,583.63,0,0,0,0,0,0
18,964.6265,974.3658,963.9362,973.6337,2866,100.2279,100.4673,100.1848,100.3571,1758.6,95.3213,95.3303,94.2692,94.4395,13904.45,93.7093,93.7095,92.4963,92.5922,1409,1040.9653,1046.431,1040.495,1043.4795,6441,1016.3267,1027.9334,1015.2328,1027.9334,579.18,0,0,-1,0,1,-1
19,973.6337,980.9562,972.7809,979.6681,5425,100.3935,100.9693,100.0813,100.8086,1891.2,94.4395,94.7135,92.9153,93,10528.36,92.5922,92.623,92.2514,92.3992,1515,1043.4795,1046.4142,1042.3295,1045.974,8588,1028.3157,1028.3157,1017.4266,1022.6984,580.72,0,0,0,0,0,0
20,979.6681,980.5452,979.5448,979.7859,8339,100.6292,101.5669,100.6033,101.3956,2257.5,93,95.0673,92.7269,94.98,10757.62,92.3992,92.5151,92.2984,92.4661,1357,1045.974,1057.7509,1043.8301,1055.5825,4972,1022.8034,1022.8034,1010.5194,1010.5194,573.3,-1,0,0,0,0,0
21,979.7859,979.8524,975.8598,976.8625,7644,101.3861,101.5893,101.2015,101.3815,1804.2,94.98,95.0185,94.0096,94.1112,5458.9,92.4661,92.5625,92.3612,92.4565,1303,1055.5825,1055.8505,1044.6392,1046.1114,4633,1003.8645,1007.4528,993.9666,997.2695,578.46,0,0,0,0,0,0
22,976.8625,977.9182,972.5138,973.7576,4297,101.3431,101.5735,101.3206,101.3917,1630.3,94.1112,94.3031,94.0257,94.2507,13581.3,92.4565,92.5689,91.9598,91.9943,1735,1046.1114,1047.46,1042.6764,1045.0334,1243,999.4347,1007.188,995.8963,995.9832,578.78,0,0,0,0,0,0
23,973.7576,981.6753,972.3665,979.8578,1381,101.5834,101.6078,100.7363,100.821,1185,94.2507,96.0814,94.2213,96.0566,9091.57,91.9943,92.1047,91.4584,91.633,1659,1045.0334,1058.1942,1042.7115,1055.1532,9831,988.0965,988.0965,980.0375,980.0375,587.47,0,0,0,0,0,0
24,979.8578,987.523,978.8495,985.8258,9821,100.0861,100.9817,100.0543,100.2166,939,96.0566,96.4689,95.7678,96.3471,11884.8,91.633,92.0443,91.5579,91.9273,1729,1055.1532,1056.2488,1041.5493,1044.1179,11300,975.6615,975.6615,969.5141,969.7415,579.54,0,0,-1,0,-1,0
25,985.8258,992.2162,985.2575,992.1037,7934,100.2507,100.7613,100.1487,100.71,1226.2,96.3471,97.4346,96.1902,97.3289,11919.29,91.9273,92.248,91.9197,92.2099,1660,1044.1179,1047.0726,1034.9285,1036.3963,1130,973.2452,973.2452,955.7609,961.18,590.41,-1,0,0,0,0,0
26,992.1037,998.3586,991.1622,998.3126,9804,101.0866,101.1813,100.6872,101.133,1910.9,97.3289,97.6391,97.2718,97.3736,9907,92.2099,92.273,91.7202,91.8679,1193,1036.3963,1037.5091,1034.6017,1035.9565,10057,957.8445,966.3006,955.377,955.377,589.93,0,0,0,0,0,0
27,998.3126,1005.4419,996.6074,1004.4413,6988,100.7458,101.0839,100.5328,100.6179,1552.4,97.3736,97.781,97.3681,97.4463,6003.51,91.8679,95.0282,88.6028,91.7538,1217,1035.9565,1038.0343,1027.6549,1027.7347,6215,953.4903,959.8032,953.4903,959.1419,583.4,0,0,0,0,0,1
28,1004.4413,1005.8704,1004.2875,1004.9743,4883,100.1258,100.6223,99.9917,100.1487,1315.3,97.4463,97.6393,96.9992,97.4892,11665.02,91.7538,98.3509,91.6545,92.1991,1422,1027.7347,1031.2171,1026.9955,1029.0683,677435,958.77,969.9623,957.1252,969.9623,578.76,0,0,0,0,0,0
29,1004.9743,1005.4686,1001.5063,1002.1491,2167,100.1228,100.2615,100.0133,100.1905,1551.6,97.4892,97.6834,97.2698,97.5381,13787.6,92.1991,94.0898,92.0481,93.9495,1265,1029.0683,1032.134,1028.4237,1031.3909,8588,975.6311,980.2015,968.3822,971.3548,578.93,0,0,0,0,0,0
30,1002.1491,1002.822,1001.4587,1002.4766,5438,100.1746,100.6771,100.0947,100.6588,686.2,97.5381,97.6245,97.3231,97.583,7204.46,93.9495,94,93.4195,93.5211,1706,1031.3909,1035.7219,1030.2574,1033.8959,9605,969.7512,992.9065,969.7512,992.9065,578.05,-1,0,0,0,0,0
31,1002.4766,1012.3141,1002.0774,1011.5587,7315,100.9334,101.1655,100.5892,101.1456,449.1,97.583,97.9639,97.4337,97.6609,6493.54,93.5211,93.589,93.0384,93.2072,1240,1033.8959,1039.3968,1032.0338,1036.4409,4181,996.3896,996.3896,985.7146,989.1275,571.92,0,0,0,0,1,0
32,1011.5587,1011.868,1010.6482,1011.4882,3903,101.1172,101.2509,101.085,101.1867,854,97.6609,98.1013,97.6208,97.7391,11281.12,93.2072,93.5787,93.1135,93.4898,1674,1036.4409,1039.8379,1036.1719,1038.5971,7571,986.5432,986.5432,971.9696,973.9131,576.65,0,0,0,0,0,1
33,1011.4882,1013.0829,992.8497,993.5505,1274,101.2309,101.3008,101.0996,101.1868,2111.8,97.7391,97.834,97.68,97.783,7492.87,93.4898,93.6046,93.1917,93.344,1195,1038.5971,1043.8282,1036.3993,1040.8194,4972,976.1647,984.2616,976.1647,984.2616,580.68,0,0,1,0,0,0
34,993.5505,993.5863,991.4409,991.8492,8368,100.708,101.3429,100.5993,100.7775,1505.8,97.783,98.16,97.7316,97.8217,12621.41,93.344,93.3773,93.0922,93.1542,1188,1040.8194,1045.8736,1039.7713,1043.1725,7006,981.7384,1000.2585,981.7384,1000.2585,574.12,0,0,0,0,0,0
35,991.8492,992.6506,990.9077,991.3851,2606,100.4203,100.9883,99.9698,100.3038,1339.3,97.8217,97.9997,97.4839,97.8778,13593.85,93.1542,93.1739,92.8234,92.8468,1241,1043.1725,1048.7703,1042.337,1045.7297,2938,1001.6139,1008.0316,999.4642,1003.6008,579.46,0,0,0,0,0,0
36,991.3851,992.5548,989.9551,991.9824,1895,100.318,100.7696,99.9644,100.5758,1687.2,97.8778,98.0217,97.5092,97.8778,96693.26,92.8468,93.0171,92.424,92.4503,1175,1045.7297,1050.1145,1045.2455,1047.8896,5085,1005.7379,1012.4869,1000.8585,1012.0478,582.19,0,0,0,0,-1,1
37,991.9824,995.0436,990.3116,993.9038,6214,100.9231,100.9832,100.513,100.9524,1624.9,97.8778,100.7333,97.3872,100.5386,10577.16,92.4503,92.9069,92.3194,92.7645,1551,1047.8896,1051.1028,1044.7652,1050.4504,10170,1013.3962,1013.3962,1003.8395,1010.5787,588.48,1,0,1,0,0,0
38,993.9038,996.5682,993.086,995.0686,9868,100.9145,101.1312,100.8739,100.9714,1770.8,100.5386,103.8694,100.1608,103.5034,10861.57,92.7645,93.2042,92.7284,93.2013,1454,1050.4504,1055.0876,1048.8383,1052.8058,9492,1007.7113,1035.3376,1005.5686,1033.2255,581.62,0,0,0,0,0,0
39,995.0686,995.8563,993.8515,994.2334,2892,100.9644,101.2209,100.938,101.0238,702.3,103.5034,106.2746,103.0296,106.2288,9982.03,93.2013,93.6212,93.0606,93.5867,1595,1052.8058,1055.4444,1049.8174,1055.2496,2147,1036.576,1039.6066,1025.9709,1027.3985,578.19,0,0,0,0,0,0
40,994.2334,995.4249,993.623,994.1156,2136,100.6413,101.1207,100.5483,100.6302,750.1,106.2288,106.2538,105.337,105.4737,11495.06,93.5867,93.7329,93.199,93.311,1608,1055.2496,1060.7651,1053.9135,1057.7192,10848,1030.1862,1030.1862,1016.8182,1016.8182,586.34,0,0,0,0,0,0
41,994.1156,997.0087,992.5258,995.8319,266,100.2882,100.6342,100.0431,100.1555,1347.1,105.4737,106.3432,105.4491,106.1655,9188.01,93.311,93.6614,93.2345,93.646,1621,1057.7192,1062.8929,1055.1636,1060.0251,10848,1016.1474,1018.214,1014.2837,1015.8486,578.59,0,0,0,0,0,0
42,995.8319,996.3319,994.3271,995.1454,898,100.4912,100.5887,100.0839,100.4555,1175.3,106.1655,108.1096,105.9456,107.8324,8392.98,93.646,94.0274,87.567,93.9294,1701,1060.0251,1062.9143,1057.1623,1062.5761,452,1018.1211,1032.5471,1018.1211,1032.5471,584.84,0,0,0,0,0,0
43,995.1454,997.4551,994.345,995.9493,448,100.9289,101.021,100.4722,100.841,509,107.8324,110.4145,107.6974,110.1458,13728.2,93.9294,95.8571,93.7695,95.6696,1479,1062.5761,1066.9672,1061.1845,1065.0804,10170,1036.6813,1044.5111,1035.265,1038.6725,581.12,0,0,-1,0,1,-1
44,995.4165,995.6895,989.2055,990.6331,5703,100.9762,101.1472,100.7919,100.8708,548.9,110.1458,110.5684,109.3047,109.8115,10359.7,95.6696,95.8311,95.5956,95.6971,1371,1065.0804,1070.1573,1062.3072,1067.6104,10961,1039.5545,1039.5545,1032.8498,1033.6564,583.51,1,0,0,0,0,0
45,990.6331,991.4881,986.653,986.7279,6474,101.043,101.1864,100.8363,100.9266,666.8,109.8115,110.8318,109.6169,110.6562,11899.11,95.6971,95.6999,95.4233,95.4804,1132,1067.6104,1070.4127,1066.4577,1069.9139,6667,1033.7615,1033.7615,1023.1935,1025.2755,588.69,0,0,0,0,0,0
46,986.7279,987.9804,978.7328,980.57,7415,100.5744,100.9462,100.5396,100.6424,990,110.6562,115.3452,110.6048,114.9992,11578.77,95.4804,95.7185,95.4516,95.6879,1012,1069.9139,1075.0078,1066.8377,1072.0699,9831,1030.1782,1031.0322,1026.5458,1026.5458,574.49,0,0,0,0,0,0
47,980.57,981.2538,974.598,975.9059,5947,100.316,100.5736,100.2046,100.2637,1801.2,114.9992,116.2499,114.9958,116.1883,9338.84,95.6879,96.2733,95.6449,96.0962,1972,1072.0699,1075.0022,1071.2808,1074.7299,6328,1024.4407,1024.4407,1004.9529,1008.0031,583.44,0,0,0,0,0,0
48,975.9059,977.1019,970.6103,971.6359,2681,100.0968,100.264,99.9864,100.1266,1263.5,116.1883,116.6016,116.124,116.2175,11590.42,96.0962,96.5951,96.0438,96.5639,1860,1074.7299,1077.5248,1074.1471,1077.1216,3164,1005.8991,1008.0298,993.1117,993.1117,588.34,1,0,-1,0,0,0
49,971.6359,971.8574,964.6381,965.3692,6420,100.1002,100.2149,99.9652,100.1252,1405.3,116.2175,116.5955,115.1285,115.8169,9146.49,96.5639,96.9997,96.3797,96.8829,1205,1077.1216,1081.4777,1075.7423,1079.6963,6554,992.8704,992.8704,978.3471,981.0061,573.04,0,0,0,0,-1,0
50,965.3692,965.661,959.5931,959.7481,8807,99.9847,100.4413,99.9642,100.385,2204,115.8169,117.1567,115.6916,116.8051,6120.62,96.8829,97.0414,96.3883,96.4569,1303,1079.6963,1082.7936,1079.125,1081.9755,9266,979.7298,979.8176,972.3012,972.3012,584.13,0,0,0,0,0,0
51,959.7481,961.6193,954.0587,954.4917,3554,100.5383,100.7877,100.2632,100.7417,1184,116.8051,119.0883,116.2908,118.6388,11523.19,96.4569,96.6185,96.249,96.325,1109,1081.9755,1087.5184,1080.5679,1084.2833,2260,974.1523,978.8148,970.792,977.8018,584.16,0,0,0,0,0,-1
52,954.4917,956.9964,954.3988,955.9736,4741,100.598,100.7975,100.4583,100.7363,1114.8,118.6388,120.4628,118.596,120.3437,10270.45,96.325,96.5027,95.9917,96.1434,1105,1084.2833,1089.6029,1081.4985,1086.7321,678,976.3961,976.3961,958.3556,958.3556,572.13,0,0,0,0,0,0
53,955.9736,959.373,954.3467,958.8998,4757,100.659,100.8068,100.3798,100.6735,1861.6,120.3437,120.5952,117.3524,117.694,11181.08,96.1434,96.1774,94.6229,94.6306,1788,1086.7321,1089.9296,1084.473,1089.1935,5311,956.9762,967.5591,956.9762,965.7782,575.06,0,0,0,0,0,0
54,958.8998,959.3335,956.786,957.3304,7643,100.6423,100.8196,100.0113,100.2574,1602.2,117.694,117.8696,116.7719,117.0216,13009.4,94.6306,94.8,94.5672,94.5943,1333,1089.1935,1091.7091,1079.912,1081.5629,226,969.2937,974.143,963.7788,969.3224,579.84,0,0,0,0,0,0
55,957.3304,960.0168,955.5247,959.26,6788,100.1998,100.2502,99.6009,99.7629,1569,117.0216,120.523,117.0169,120.3402,9377.68,94.5943,95.1951,94.5369,95.0541,1345,1081.5629,1092.9698,1079.9392,1090.3866,8249,964.0723,965.8669,957.2917,964.0778,576.91,0,0,-1,0,-1,0
56,959.26,959.5307,955.9893,957.6693,1584,99.6212,99.8437,99.5702,99.7313,1284.7,120.3402,120.6271,119.0752,119.3571,11250.28,95.0541,95.2037,94.7573,94.8712,1074,1090.3866,1091.2827,1082.8133,1083.0264,764106,967.7303,977.1591,967.7303,969.499,575.43,0,0,0,0,0,-1
57,957.6693,959.4179,957.503,958.4164,1053,99.7283,99.8322,99.544,99.6648,640.6,119.3571,119.6608,118.6259,118.8821,10064.23,94.8712,94.9918,94.7385,94.7622,1636,1083.0264,1084.256,1079.727,1080.405,339,968.5818,972.4549,957.0545,972.4549,572.36,1,0,0,0,0,0
58,958.4164,960.2371,958.1324,958.7817,7121,99.999,100.2696,99.6186,100.1688,439.2,118.8821,119.9246,118.7254,119.7611,9819.51,94.7622,94.8897,94.3388,94.4465,1700,1080.405,1080.4378,1077.0296,1078.0389,5424,969.6028,976.2323,964.3611,964.3611,578.49,0,0,0,0,0,0
59,958.7817,962.7404,958.7681,960.9982,4308,100.8003,100.8056,100.1942,100.7679,1026.7,119.7611,120.1195,116.1946,117.0078,6014.07,94.4465,94.9715,94.3211,94.9022,1481,1078.0389,1080.9527,1073.4823,1075.6666,10848,969.5686,974.5803,969.2861,974.5803,578.4,0,0,0,0,0,0
60,960.9982,963.1759,960.0863,961.3388,818,100.7598,100.9319,100.6199,100.7216,1420.5,117.0078,117.5305,115.5468,115.7691,6842.84,94.9022,95.0041,88.4984,94.5368,1342,1075.6666,1077.5572,1071.7179,1073.1818,4859,979.5818,989.2712,979.5818,989.2712,573.39,0,0,0,0,-1,0
61,961.3388,962.5764,959.9596,962.0877,1666,100.905,100.9708,100.6296,100.7365,1605.9,115.7691,117.6347,115.7322,117.3472,12780.91,94.5368,94.5993,93.097,93.1173,1080,1073.1818,1073.5716,1069.3794,1071.0288,565,988.5068,988.5068,972.0158,975.8716,585.51,-1,0,0,0,0,0
62,962.0877,962.2877,961.2431,961.8994,504,100.7785,100.8863,100.3679,100.4656,1644.1,117.3472,120.3389,117.1455,120.1454,8457.5,93.1173,93.296,93.1117,93.2074,1110,1071.0288,1073.5058,1068.3172,1068.4381,9492,978.9044,992.8321,978.9044,989.5968,569.93,0,0,-1,0,0,-1
